#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
256.00	2.1483	1018.3	0.00098201	6.9763	7.0691	37.690	41.061	96.800	685.08	0.12330	133.43	0.12944	0.0077905	56.685	0.017641	17.547	19.215	85.134	34.058	59.103	219.56	16.946	13.126	0.016011
256.50	2.1809	1015.9	0.00098431	7.0227	7.1172	37.872	41.054	97.084	681.08	0.12952	132.36	0.12885	0.0076891	57.603	0.017360	17.545	19.212	85.024	34.167	59.545	219.40	16.861	13.161	0.016105
257.00	2.2138	1013.5	0.00098664	7.0692	7.1654	38.055	41.047	97.374	677.07	0.13586	131.29	0.12826	0.0075880	58.534	0.017084	17.544	19.208	84.915	34.277	59.996	219.24	16.776	13.197	0.016200
257.50	2.2470	1011.1	0.00098899	7.1159	7.2137	38.237	41.041	97.670	673.04	0.14232	130.24	0.12767	0.0074872	59.479	0.016813	17.542	19.205	84.805	34.388	60.457	219.07	16.692	13.232	0.016297
258.00	2.2806	1008.7	0.00099136	7.1626	7.2621	38.419	41.036	97.974	668.99	0.14891	129.19	0.12707	0.0073867	60.438	0.016546	17.541	19.201	84.696	34.499	60.928	218.90	16.608	13.268	0.016395
258.50	2.3146	1006.3	0.00099376	7.2094	7.3107	38.601	41.033	98.284	664.92	0.15564	128.15	0.12648	0.0072864	61.411	0.016284	17.539	19.198	84.586	34.612	61.408	218.73	16.524	13.305	0.016495
259.00	2.3490	1003.8	0.00099619	7.2564	7.3593	38.784	41.030	98.601	660.83	0.16250	127.12	0.12589	0.0071864	62.398	0.016026	17.537	19.194	84.475	34.725	61.899	218.55	16.442	13.341	0.016597
259.50	2.3837	1001.4	0.00099864	7.3034	7.4082	38.966	41.029	98.925	656.72	0.16949	126.09	0.12530	0.0070867	63.400	0.015773	17.535	19.189	84.365	34.840	62.400	218.37	16.359	13.378	0.016700
260.00	2.4188	998.89	0.0010011	7.3505	7.4571	39.148	41.029	99.258	652.58	0.17663	125.07	0.12471	0.0069873	64.417	0.015524	17.532	19.185	84.254	34.955	62.912	218.19	16.277	13.415	0.016805
260.50	2.4543	996.39	0.0010036	7.3978	7.5062	39.331	41.030	99.598	648.43	0.18391	124.06	0.12412	0.0068882	65.449	0.015279	17.530	19.180	84.144	35.072	63.435	218.00	16.195	13.453	0.016911
261.00	2.4901	993.89	0.0010062	7.4451	7.5554	39.514	41.033	99.946	644.25	0.19134	123.05	0.12353	0.0067893	66.497	0.015038	17.527	19.175	84.033	35.189	63.970	217.81	16.114	13.491	0.017019
261.50	2.5264	991.36	0.0010087	7.4926	7.6047	39.696	41.037	100.30	640.06	0.19893	122.05	0.12294	0.0066908	67.560	0.014802	17.524	19.170	83.921	35.308	64.517	217.61	16.033	13.529	0.017129
262.00	2.5630	988.83	0.0010113	7.5402	7.6542	39.879	41.043	100.67	635.84	0.20667	121.06	0.12235	0.0065925	68.640	0.014569	17.521	19.164	83.810	35.427	65.077	217.41	15.952	13.568	0.017242
262.50	2.6000	986.27	0.0010139	7.5879	7.7039	40.062	41.050	101.04	631.60	0.21458	120.07	0.12176	0.0064945	69.735	0.014340	17.517	19.158	83.698	35.547	65.649	217.21	15.872	13.607	0.017356
263.00	2.6374	983.70	0.0010166	7.6357	7.7537	40.245	41.058	101.42	627.34	0.22265	119.09	0.12117	0.0063969	70.848	0.014115	17.514	19.152	83.585	35.668	66.235	217.01	15.792	13.647	0.017472
263.50	2.6752	981.12	0.0010192	7.6836	7.8036	40.429	41.069	101.82	623.05	0.23090	118.12	0.12058	0.0062995	71.977	0.013893	17.510	19.146	83.473	35.791	66.834	216.80	15.712	13.687	0.017590
264.00	2.7134	978.51	0.0010220	7.7317	7.8537	40.612	41.080	102.22	618.75	0.23932	117.15	0.11999	0.0062024	73.124	0.013675	17.506	19.139	83.360	35.914	67.448	216.59	15.633	13.727	0.017710
264.50	2.7519	975.89	0.0010247	7.7798	7.9040	40.796	41.094	102.63	614.42	0.24792	116.19	0.11939	0.0061057	74.288	0.013461	17.502	19.132	83.247	36.038	68.077	216.37	15.554	13.768	0.017833
265.00	2.7909	973.25	0.0010275	7.8282	7.9544	40.979	41.109	103.06	610.07	0.25672	115.24	0.11880	0.0060092	75.471	0.013250	17.498	19.125	83.133	36.164	68.721	216.15	15.476	13.810	0.017957
265.50	2.8303	970.60	0.0010303	7.8766	8.0049	41.163	41.125	103.49	605.70	0.26570	114.29	0.11821	0.0059131	76.672	0.013043	17.493	19.118	83.019	36.290	69.381	215.93	15.397	13.851	0.018085
266.00	2.8701	967.92	0.0010331	7.9252	8.0557	41.348	41.144	103.94	601.31	0.27489	113.34	0.11762	0.0058173	77.891	0.012838	17.488	19.110	82.905	36.418	70.058	215.70	15.319	13.894	0.018214
266.50	2.9103	965.23	0.0010360	7.9739	8.1066	41.532	41.164	104.39	596.90	0.28428	112.40	0.11703	0.0057218	79.130	0.012637	17.483	19.102	82.790	36.546	70.753	215.47	15.242	13.936	0.018347
267.00	2.9509	962.52	0.0010389	8.0227	8.1577	41.716	41.186	104.86	592.46	0.29389	111.47	0.11644	0.0056266	80.388	0.012440	17.478	19.094	82.675	36.676	71.465	215.24	15.164	13.980	0.018482
267.50	2.9919	959.79	0.0010419	8.0717	8.2089	41.901	41.209	105.35	588.01	0.30371	110.54	0.11585	0.0055317	81.667	0.012245	17.473	19.085	82.559	36.807	72.197	215.00	15.087	14.023	0.018619
268.00	3.0334	957.04	0.0010449	8.1209	8.2604	42.086	41.234	105.84	583.54	0.31376	109.62	0.11526	0.0054372	82.965	0.012053	17.467	19.076	82.443	36.940	72.948	214.76	15.010	14.068	0.018760
268.50	3.0752	954.27	0.0010479	8.1702	8.3120	42.272	41.261	106.35	579.05	0.32405	108.70	0.11466	0.0053430	84.285	0.011865	17.461	19.067	82.326	37.073	73.720	214.51	14.933	14.113	0.018903
269.00	3.1175	951.48	0.0010510	8.2196	8.3638	42.457	41.289	106.88	574.54	0.33457	107.79	0.11407	0.0052491	85.626	0.011679	17.455	19.057	82.209	37.208	74.513	214.26	14.857	14.158	0.019050
269.50	3.1602	948.66	0.0010541	8.2693	8.4159	42.643	41.319	107.42	570.01	0.34535	106.88	0.11348	0.0051556	86.989	0.011496	17.448	19.047	82.091	37.345	75.329	214.01	14.780	14.204	0.019200
270.00	3.2033	945.83	0.0010573	8.3190	8.4681	42.829	41.351	107.98	565.46	0.35639	105.98	0.11289	0.0050624	88.374	0.011316	17.441	19.037	81.972	37.482	76.168	213.75	14.704	14.251	0.019353
270.50	3.2469	942.97	0.0010605	8.3690	8.5205	43.016	41.384	108.55	560.90	0.36769	105.08	0.11229	0.0049696	89.781	0.011138	17.434	19.026	81.853	37.621	77.031	213.49	14.628	14.298	0.019509
271.00	3.2909	940.09	0.0010637	8.4191	8.5731	43.202	41.419	109.14	556.32	0.37927	104.19	0.11170	0.0048771	91.213	0.010963	17.427	19.015	81.734	37.762	77.921	213.23	14.552	14.346	0.019669
271.50	3.3354	937.19	0.0010670	8.4694	8.6260	43.390	41.456	109.74	551.72	0.39114	103.30	0.11111	0.0047850	92.668	0.010791	17.420	19.004	81.613	37.904	78.837	212.96	14.476	14.395	0.019833
272.00	3.3802	934.26	0.0010704	8.5198	8.6790	43.577	41.494	110.37	547.11	0.40331	102.42	0.11051	0.0046932	94.148	0.010622	17.412	18.992	81.492	38.048	79.781	212.68	14.401	14.445	0.020000
272.50	3.4256	931.31	0.0010738	8.5705	8.7323	43.765	41.533	111.02	542.48	0.41579	101.54	0.10992	0.0046018	95.652	0.010455	17.404	18.980	81.371	38.194	80.755	212.41	14.325	14.495	0.020171
273.00	3.4713	928.33	0.0010772	8.6213	8.7859	43.953	41.574	111.68	537.84	0.42859	100.66	0.10933	0.0045108	97.183	0.010290	17.395	18.967	81.248	38.341	81.760	212.13	14.250	14.546	0.020347
273.50	3.5175	925.33	0.0010807	8.6723	8.8396	44.142	41.616	112.37	533.18	0.44172	99.791	0.10873	0.0044201	98.740	0.010128	17.387	18.954	81.125	38.490	82.797	211.84	14.174	14.597	0.020527
274.00	3.5642	922.30	0.0010842	8.7235	8.8936	44.331	41.659	113.08	528.51	0.45519	98.922	0.10814	0.0043298	100.32	0.0099677	17.378	18.941	81.001	38.641	83.869	211.55	14.098	14.650	0.020712
274.50	3.6113	919.24	0.0010879	8.7750	8.9479	44.521	41.704	113.81	523.83	0.46903	98.058	0.10754	0.0042399	101.94	0.0098101	17.368	18.927	80.876	38.794	84.977	211.26	14.023	14.703	0.020901
275.00	3.6589	916.16	0.0010915	8.8266	9.0024	44.711	41.750	114.57	519.14	0.48324	97.197	0.10695	0.0041503	103.58	0.0096547	17.359	18.913	80.750	38.949	86.123	210.96	13.947	14.757	0.021095
275.50	3.7070	913.04	0.0010952	8.8785	9.0572	44.901	41.797	115.36	514.43	0.49784	96.340	0.10635	0.0040612	105.25	0.0095015	17.349	18.899	80.624	39.106	87.308	210.66	13.872	14.813	0.021294
276.00	3.7555	909.90	0.0010990	8.9305	9.1122	45.092	41.845	116.17	509.71	0.51284	95.485	0.10576	0.0039725	106.95	0.0093505	17.338	18.884	80.496	39.265	88.536	210.35	13.796	14.869	0.021498
276.50	3.8045	906.73	0.0011029	8.9829	9.1675	45.284	41.895	117.01	504.98	0.52826	94.634	0.10516	0.0038841	108.68	0.0092016	17.327	18.868	80.368	39.426	89.809	210.04	13.720	14.926	0.021709
277.00	3.8539	903.52	0.0011068	9.0354	9.2231	45.476	41.945	117.88	500.23	0.54412	93.786	0.10456	0.0037962	110.44	0.0090547	17.316	18.852	80.238	39.590	91.129	209.72	13.645	14.984	0.021925
277.50	3.9038	900.29	0.0011108	9.0882	9.2790	45.669	41.997	118.78	495.48	0.56044	92.941	0.10397	0.0037086	112.24	0.0089098	17.305	18.836	80.108	39.756	92.498	209.40	13.568	15.043	0.022147
278.00	3.9542	897.02	0.0011148	9.1412	9.3352	45.863	42.049	119.72	490.72	0.57723	92.099	0.10337	0.0036215	114.07	0.0087669	17.293	18.819	79.976	39.925	93.920	209.07	13.492	15.103	0.022375
278.50	4.0051	893.71	0.0011189	9.1945	9.3917	46.057	42.103	120.69	485.94	0.59452	91.259	0.10277	0.0035348	115.93	0.0086259	17.281	18.801	79.843	40.097	95.399	208.74	13.416	15.164	0.022610
279.00	4.0565	890.37	0.0011231	9.2481	9.4486	46.252	42.157	121.70	481.15	0.61232	90.422	0.10217	0.0034486	117.83	0.0084868	17.268	18.783	79.709	40.271	96.936	208.41	13.339	15.227	0.022853
279.50	4.1084	887.00	0.0011274	9.3019	9.5058	46.447	42.213	122.75	476.35	0.63067	89.587	0.10157	0.0033627	119.77	0.0083495	17.255	18.765	79.574	40.448	98.537	208.06	13.262	15.290	0.023102
280.00	4.1607	883.58	0.0011318	9.3560	9.5633	46.643	42.270	123.85	471.54	0.64959	88.753	0.10097	0.0032773	121.74	0.0082140	17.241	18.746	79.437	40.628	100.20	207.72	13.185	15.355	0.023360
280.50	4.2136	880.13	0.0011362	9.4105	9.6211	46.841	42.327	124.99	466.72	0.66909	87.922	0.10037	0.0031924	123.76	0.0080803	17.227	18.726	79.299	40.812	101.94	207.37	13.107	15.422	0.023625
281.00	4.2670	876.64	0.0011407	9.4652	9.6794	47.038	42.386	126.18	461.89	0.68922	87.093	0.099771	0.0031079	125.81	0.0079482	17.213	18.706	79.160	40.998	103.76	207.01	13.029	15.490	0.023899
281.50	4.3208	873.10	0.0011453	9.5202	9.7380	47.237	42.446	127.42	457.05	0.70999	86.265	0.099170	0.0030239	127.91	0.0078178	17.198	18.685	79.019	41.188	105.66	206.65	12.951	15.559	0.024182
282.00	4.3752	869.52	0.0011501	9.5756	9.7970	47.437	42.506	128.71	452.19	0.73145	85.438	0.098569	0.0029403	130.05	0.0076891	17.183	18.663	78.877	41.382	107.64	206.28	12.872	15.630	0.024475
282.50	4.4301	865.90	0.0011549	9.6313	9.8564	47.638	42.569	130.07	447.32	0.75362	84.613	0.097967	0.0028573	132.24	0.0075619	17.167	18.641	78.733	41.579	109.72	205.90	12.793	15.702	0.024778
283.00	4.4855	862.23	0.0011598	9.6873	9.9163	47.839	42.632	131.49	442.44	0.77654	83.788	0.097364	0.0027747	134.48	0.0074362	17.150	18.618	78.588	41.781	111.89	205.52	12.713	15.776	0.025091
283.50	4.5414	858.51	0.0011648	9.7438	9.9766	48.042	42.697	132.97	437.54	0.80024	82.964	0.096761	0.0026926	136.76	0.0073121	17.133	18.594	78.440	41.986	114.18	205.14	12.632	15.852	0.025416
284.00	4.5978	854.74	0.0011699	9.8006	10.037	48.246	42.763	134.53	432.63	0.82477	82.141	0.096158	0.0026110	139.09	0.0071894	17.115	18.570	78.291	42.196	116.58	204.74	12.551	15.929	0.025752
284.50	4.6548	850.92	0.0011752	9.8578	10.099	48.451	42.830	136.17	427.70	0.85018	81.317	0.095555	0.0025299	141.48	0.0070681	17.097	18.545	78.140	42.410	119.11	204.34	12.470	16.009	0.026101
285.00	4.7123	847.05	0.0011806	9.9154	10.160	48.657	42.900	137.90	422.75	0.87650	80.494	0.094952	0.0024494	143.92	0.0069482	17.078	18.519	77.987	42.629	121.77	203.94	12.387	16.091	0.026463
285.50	4.7703	843.11	0.0011861	9.9734	10.222	48.865	42.971	139.71	417.79	0.90379	79.670	0.094348	0.0023694	146.42	0.0068296	17.059	18.493	77.832	42.854	124.57	203.52	12.304	16.174	0.026840
286.00	4.8289	839.12	0.0011917	10.032	10.285	49.074	43.044	141.63	412.81	0.93211	78.846	0.093744	0.0022899	148.98	0.0067123	17.039	18.465	77.674	43.083	127.54	203.10	12.220	16.261	0.027232
286.50	4.8881	835.07	0.0011975	10.091	10.349	49.284	43.120	143.65	407.80	0.96150	78.021	0.093140	0.0022110	151.60	0.0065963	17.018	18.437	77.515	43.319	130.68	202.68	12.135	16.349	0.027639
287.00	4.9478	830.95	0.0012034	10.150	10.412	49.496	43.198	145.79	402.77	0.99205	77.195	0.092537	0.0021326	154.29	0.0064814	16.996	18.407	77.352	43.560	134.00	202.24	12.049	16.440	0.028064
287.50	5.0080	826.76	0.0012095	10.210	10.477	49.709	43.279	148.06	397.72	1.0238	76.367	0.091934	0.0020548	157.04	0.0063677	16.974	18.377	77.188	43.807	137.53	201.80	11.962	16.534	0.028507
288.00	5.0688	822.50	0.0012158	10.271	10.542	49.925	43.362	150.47	392.63	1.0568	75.537	0.091332	0.0019776	159.87	0.0062552	16.950	18.346	77.020	44.061	141.29	201.34	11.874	16.630	0.028970
288.50	5.1302	818.16	0.0012222	10.332	10.608	50.142	43.449	153.02	387.52	1.0913	74.705	0.090730	0.0019011	162.77	0.0061437	16.926	18.313	76.850	44.323	145.29	200.88	11.785	16.730	0.029454
289.00	5.1921	813.75	0.0012289	10.394	10.675	50.361	43.540	155.75	382.37	1.1271	73.870	0.090130	0.0018251	165.75	0.0060332	16.901	18.280	76.676	44.592	149.57	200.41	11.694	16.832	0.029961
289.50	5.2546	809.25	0.0012357	10.456	10.742	50.582	43.634	158.65	377.18	1.1646	73.033	0.089531	0.0017498	168.81	0.0059238	16.875	18.245	76.500	44.869	154.15	199.94	11.602	16.938	0.030492
290.00	5.3177	804.67	0.0012428	10.519	10.810	50.805	43.734	161.76	371.95	1.2037	72.191	0.088934	0.0016751	171.96	0.0058152	16.848	18.209	76.319	45.155	159.06	199.45	11.509	17.048	0.031049
290.50	5.3814	799.99	0.0012500	10.583	10.879	51.031	43.838	165.09	366.67	1.2446	71.346	0.088340	0.0016011	175.21	0.0057075	16.820	18.172	76.136	45.450	164.34	198.95	11.413	17.162	0.031635
291.00	5.4457	795.21	0.0012575	10.648	10.949	51.259	43.949	168.67	361.34	1.2874	70.496	0.087748	0.0015278	178.55	0.0056007	16.791	18.134	75.948	45.755	170.04	198.44	11.317	17.279	0.032251
291.50	5.5106	790.33	0.0012653	10.713	11.020	51.489	44.066	172.52	355.94	1.3323	69.640	0.087161	0.0014552	182.00	0.0054946	16.761	18.094	75.756	46.071	176.21	197.91	11.218	17.402	0.032901
292.00	5.5761	785.33	0.0012733	10.779	11.091	51.723	44.190	176.68	350.49	1.3794	68.779	0.086579	0.0013833	185.55	0.0053893	16.729	18.052	75.560	46.398	182.90	197.38	11.117	17.529	0.033588
292.50	5.6422	780.22	0.0012817	10.846	11.164	51.959	44.324	181.18	344.96	1.4289	67.912	0.086002	0.0013122	189.23	0.0052846	16.697	18.009	75.359	46.739	190.18	196.83	11.014	17.661	0.034315
293.00	5.7089	774.98	0.0012903	10.914	11.238	52.199	44.467	186.09	339.35	1.4811	67.037	0.085434	0.0012418	193.03	0.0051804	16.662	17.964	75.153	47.093	198.14	196.27	10.909	17.799	0.035086
293.50	5.7763	769.61	0.0012994	10.983	11.313	52.442	44.622	191.44	333.65	1.5362	66.154	0.084874	0.0011722	196.97	0.0050768	16.627	17.917	74.942	47.462	206.88	195.69	10.801	17.943	0.035906
294.00	5.8443	764.09	0.0013087	11.053	11.390	52.690	44.790	197.31	327.85	1.5945	65.262	0.084326	0.0011035	201.06	0.0049736	16.589	17.868	74.725	47.848	216.51	195.09	10.690	18.094	0.036780
294.50	5.9129	758.41	0.0013185	11.125	11.468	52.941	44.973	203.79	321.94	1.6562	64.360	0.083792	0.0010356	205.31	0.0048708	16.550	17.817	74.501	48.252	227.17	194.47	10.576	18.252	0.037713
295.00	5.9822	752.56	0.0013288	11.197	11.547	53.196	45.175	210.98	315.91	1.7218	63.447	0.083275	0.00096863	209.72	0.0047682	16.509	17.764	74.270	48.677	239.04	193.84	10.459	18.418	0.038714
295.50	6.0521	746.52	0.0013395	11.272	11.628	53.457	45.397	219.00	309.75	1.7917	62.520	0.082780	0.00090257	214.33	0.0046658	16.466	17.708	74.032	49.124	252.34	193.17	10.339	18.593	0.039790
296.00	6.1227	740.28	0.0013508	11.347	11.711	53.723	45.644	228.03	303.44	1.8663	61.579	0.082311	0.00083747	219.14	0.0045634	16.420	17.650	73.786	49.597	267.32	192.49	10.214	18.778	0.040952
296.50	6.1940	733.81	0.0013628	11.425	11.796	53.995	45.920	238.26	296.96	1.9462	60.622	0.081876	0.00077338	224.17	0.0044608	16.372	17.588	73.530	50.098	284.33	191.77	10.085	18.973	0.042212
297.00	6.2660	727.09	0.0013753	11.504	11.883	54.274	46.230	249.97	290.31	2.0321	59.646	0.081483	0.00071035	229.46	0.0043581	16.321	17.523	73.264	50.632	303.81	191.01	9.9510	19.181	0.043585
297.50	6.3387	720.09	0.0013887	11.585	11.973	54.560	46.580	263.51	283.47	2.1247	58.648	0.081142	0.00064843	235.02	0.0042549	16.267	17.454	72.986	51.204	326.32	190.22	9.8119	19.403	0.045089
298.00	6.4121	712.77	0.0014030	11.669	12.065	54.855	46.978	279.34	276.42	2.2248	57.626	0.080866	0.00058769	240.90	0.0041511	16.210	17.381	72.696	51.819	352.64	189.38	9.6668	19.641	0.046748
298.50	6.4862	705.08	0.0014183	11.756	12.160	55.160	47.434	298.10	269.14	2.3336	56.575	0.080672	0.00052820	247.14	0.0040463	16.149	17.304	72.391	52.485	383.80	188.48	9.5150	19.898	0.048592
299.00	6.5611	696.98	0.0014348	11.845	12.260	55.476	47.959	320.65	261.61	2.4523	55.490	0.080583	0.00047004	253.78	0.0039404	16.083	17.221	72.069	53.213	421.26	187.52	9.3556	20.175	0.050661
299.50	6.6367	688.40	0.0014526	11.939	12.363	55.805	48.570	348.26	253.80	2.5824	54.365	0.080626	0.00041330	260.90	0.0038329	16.012	17.132	71.728	54.014	467.15	186.47	9.1876	20.478	0.053010
300.00	6.7131	679.24	0.0014722	12.036	12.471	56.151	49.288	382.79	245.67	2.7258	53.192	0.080841	0.00035810	268.58	0.0037232	15.935	17.035	71.364	54.908	524.64	185.33	9.0093	20.811	0.055713
